algo,input,mode,threads,run,instructions,cycles,cpi,ipc,branch_miss_rate,cache_miss_rate,stalled_be_ratio,L1_dcache_load_misses,LLC_load_misses,dTLB_load_misses,iTLB_load_misses,time_sec,energy_pkg_joules,energy_ram_joules,energy_total_joules,power_watts,edp,ed2p
oddevensort,5000,parallel,8,1,9629760.0,44405488.0,4.611276708869172,0.2168596818483337,0.03357588146441089,0.09038207319039175,0.0,43395.0,599.0,726.0,734.0,0.003326012,0.11,0.0,0.11,33.072640748139214,0.00036586132,1.21685914065584e-06
oddevensort,5000,serial,1,1,9318556.0,22366371.0,2.400197090622195,0.4166324523544745,0.028368775470269444,0.2549645761351342,0.0,19178.0,597.0,596.0,567.0,0.0095592335,0.18,0.01,0.19,19.876070607544005,0.001816254365,1.7361999570429227e-05
oddevensort,10000,parallel,2,1,19727410.0,54014551.0,2.7380457444743125,0.3652239930680901,0.025934270945010326,0.1477228002543117,0.0,79856.0,630.0,639.0,662.0,0.0085159595,0.25,0.01,0.26,30.530910815158293,0.00221414947,1.8855607213466467e-05
oddevensort,10000,parallel,4,1,19911800.0,57738176.0,2.899696461394751,0.3448636825659335,0.026659153143233014,0.10462615376068445,0.0,39974.0,628.0,678.0,666.0,0.0064497675,0.19,0.0,0.19,29.458426214588354,0.001225455825,7.903905152770687e-06
oddevensort,10000,parallel,8,1,20835883.0,99542341.0,4.777447684842538,0.20931678711474144,0.027388304287973134,0.08445513268644612,0.0,57474.0,639.0,752.0,719.0,0.0050786875,0.19,0.01,0.2,39.38025326425381,0.0010157375,5.15861334453125e-06
oddevensort,10000,serial,1,1,20349577.0,50544821.0,2.483826617133123,0.40260459127949033,0.026466474524305485,0.1291107405483721,0.0,120399.0,630.0,595.0,575.0,0.014182432500000001,0.35,0.01,0.36,25.38351583904947,0.0051056757,7.241090098214026e-05
oddevensort,50000,parallel,2,1,98461355.0,265855776.0,2.7001027560508386,0.3703562754265681,0.02254647835923771,0.05200360928807442,0.0,570600.0,670.0,764.0,684.0,0.0505991195,1.08,0.02,1.1,21.739508728012552,0.05565903145,0.002816297983592808
oddevensort,50000,parallel,4,1,98919174.0,279006647.0,2.8205517264024063,0.3545405640461318,0.02528880953090722,0.07066458825409025,0.0,580116.0,681.0,806.0,710.0,0.020155107,0.8,0.01,0.81,40.188325470065735,0.01632563667,0.00032904495392697367
oddevensort,50000,parallel,8,1,100614005.0,421163461.0,4.18593277347423,0.23889537986297438,0.025584150935533796,0.05251499253863313,0.0,597856.0,716.0,1042.0,857.0,0.016884559,0.67,0.01,0.68,40.27348300894326,0.011481500120000002,0.0001938600661846471
oddevensort,50000,serial,1,1,102342427.0,257859698.0,2.5195777114021345,0.39689190592319706,0.02552803746527803,0.021378672637274592,0.0,556581.0,686.0,706.0,637.0,0.066365094,2.14,0.1,2.24,33.752683300652,0.14865781056000002,0.009865689571648593
oddevensort,100000,parallel,2,1,218915020.0,595411796.0,2.7198307178739953,0.3676699411578336,0.023001844633581785,0.01106334962206348,0.0,1244222.0,764.0,825.0,725.0,0.077658541,2.24,0.05,2.29,29.488063650333068,0.17783805888999998,0.013810644187669478
oddevensort,100000,parallel,4,1,220080144.0,634209337.0,2.881719929263587,0.34701498568445077,0.02328124344025506,0.046630463637731566,0.0,1260116.0,771.0,929.0,723.0,0.043266147500000005,1.73,0.03,1.76,40.67845421180612,0.0761484196,0.0032946487543054916
oddevensort,100000,parallel,8,1,222938637.0,922823688.0,4.1393618460132595,0.2415831321833169,0.023612792790587023,0.023459172871952108,0.0,1280959.0,759.0,1235.0,936.0,0.0345600765,1.37,0.02,1.3900000000000001,40.2198183791636,0.04803850633500001,0.001660214453883335
oddevensort,100000,serial,1,1,227925140.0,592514469.0,2.5996012067821916,0.3846743867448071,0.02254849180603273,0.25238647750646065,0.0,1228690.0,1596.0,918.0,602.0,0.1497910435,3.39,0.09,3.48,23.232363689355033,0.52127283138,0.07808200136060975
quicksort,100,parallel,2,1,801909.0,1345445.0,1.6778025935611147,0.5960176744497174,0.0791228252943015,0.26514686540990795,0.0,17355.0,689.0,628.0,612.0,0.0024996289999999997,0.04,0.0,0.04,16.00237475241326,9.998516e-05,2.4992580550563996e-07
quicksort,100,parallel,4,1,822211.0,1754087.0,2.1333781717831553,0.4687401480086221,0.07497669017190649,0.2538073668917187,0.0,17607.0,595.0,636.0,684.0,0.0027897994999999997,0.05,0.0,0.05,17.92243492767133,0.000139489975,3.8914906251001246e-07
quicksort,100,parallel,8,1,885002.0,3427337.0,3.872688423302998,0.2582185527714374,0.0811376749371055,0.22374359599902416,0.0,18512.0,708.0,721.0,665.0,0.0020426165000000003,0.08,0.0,0.08,39.1654527416184,0.00016340932000000002,3.337825732857801e-07
quicksort,100,serial,1,1,681993.0,909483.0,1.3335664735561803,0.7498688815513869,0.08047478380858603,0.26533177497960175,0.0,13505.0,415.0,470.0,450.0,0.002516095,0.04,0.0,0.04,15.897650923355439,0.0001006438,2.5322936196099997e-07
quicksort,500,parallel,2,1,867375.0,1424438.0,1.6422400922323102,0.6089243617482825,0.09733984045450177,0.2059859443343217,0.0,17252.0,601.0,628.0,682.0,0.001925517,0.05,0.0,0.05,25.967051965783735,9.627585000000001e-05,1.8538078586445003e-07
quicksort,500,parallel,4,1,890422.0,2016596.0,2.2647643476913193,0.44154704264017186,0.09474355283181837,0.2308021153298078,0.0,17631.0,601.0,652.0,629.0,0.0017424304999999998,0.06,0.0,0.06,34.434658943355274,0.00010454582999999999,1.8216384283981495e-07
quicksort,500,parallel,8,1,982630.0,4357922.0,4.434957206680032,0.22548131884875405,0.08357924203656981,0.20776149083294415,0.0,19215.0,1076.0,806.0,732.0,0.0073430694999999995,0.07,0.0,0.07,9.532798239210457,0.000514014865,3.7744468777281175e-06
