algo,input,mode,threads,n_runs,time_sec_mean,time_sec_std,time_cv,speedup,efficiency,ipc_mean,ipc_std,cpi_mean,cpi_std,branch_miss_rate_mean,cache_miss_rate_mean,instructions_mean,instructions_std,cycles_mean,cycles_std,branch_miss_rate_std,cache_miss_rate_std,stalled_be_ratio_mean,stalled_be_ratio_std,L1_dcache_load_misses_mean,L1_dcache_load_misses_std,LLC_load_misses_mean,LLC_load_misses_std,dTLB_load_misses_mean,dTLB_load_misses_std,iTLB_load_misses_mean,iTLB_load_misses_std,energy_pkg_joules_mean,energy_pkg_joules_std,energy_ram_joules_mean,energy_ram_joules_std,energy_total_joules_mean,energy_total_joules_std,power_watts_mean,power_watts_std,edp_mean,edp_std,ed2p_mean,ed2p_std,bottleneck
bitonicsort,50000,parallel,8,1,0.0101059605,,,1.4803735874487138,0.18504669843108923,0.4738924082262189,,2.1101836253148765,,0.029415519811251217,0.1738005275777777,108103123.0,,228117440.0,,,,0.0,,635253.0,,803.0,,919.0,,797.0,,2.45,,0.13,,2.58,,255.29488265860527,,0.02607337809,,0.00026349652907910545,,"ILP/pipeline, Memory/cache, TLB"
bitonicsort,50000,serial,1,1,0.014960596999999999,,,1.0,1.0,2.051259878989345,,0.48750526944089584,,0.02845621544701486,0.05658244206420309,101614196.0,,49537456.0,,,,0.0,,595601.0,,2117.0,,742.0,,627.0,,0.57,,0.03,,0.6,,40.105351410775924,,0.0089763582,,0.0001342916775578454,,"Memory/cache, TLB"
bitonicsort,100000,parallel,2,1,0.018875958499999998,,,1.6985623538004706,0.8492811769002353,2.2010066434578914,,0.454337565482742,,0.022972588921444492,0.05954284868936505,227496773.0,,103360330.0,,,,0.0,,1338852.0,,4688.0,,979.0,,784.0,,0.64,,0.03,,0.67,,35.49488625968319,,0.012646892194999999,,0.00023872221222679386,,"Memory/cache, TLB"
bitonicsort,100000,parallel,4,1,0.013523373,,,2.370857662507719,0.5927144156269297,1.8272678709783765,,0.5472651360441032,,0.023876447238406026,0.02436855437635455,227826817.0,,124681674.0,,,,0.0,,1354738.0,,2161.0,,1144.0,,773.0,,0.43,,0.03,,0.45999999999999996,,34.015182454850574,,0.0062207515799999995,,8.412554395667933e-05,,"Memory/cache, TLB"
bitonicsort,100000,parallel,8,1,0.12454542049999999,,,0.257432126940388,0.0321790158675485,0.07614732759316882,,13.132437231975953,,0.012842719184723994,0.3005275543402597,446174751.0,,5859361912.0,,,,0.0,,1367852.0,,1553.0,,1114.0,,838.0,,0.68,,0.03,,0.7100000000000001,,5.700731485345943,,0.088427248555,,0.011013208854940492,,"ILP/pipeline, Memory/cache, TLB"
bitonicsort,100000,serial,1,1,0.0320619925,,,1.0,1.0,2.1730686898851603,,0.4601787346413089,,0.02470937015628641,0.03094432371133089,226699087.0,,104322099.0,,,,0.0,,1319490.0,,4107.0,,2117.0,,635.0,,1.2,,0.06,,1.26,,39.29886765459134,,0.04039811055,,0.0012952439174682708,,"Memory/cache, TLB"
bitonicsort,500000,parallel,2,1,0.075168909,,,2.1009430508030915,1.0504715254015458,2.2394901216277696,,0.44653021254371583,,0.025540780817070365,0.11850002507634792,1133426312.0,,506109092.0,,,,0.0,,6488253.0,,15809.0,,4910.0,,836.0,,4.06,,0.22,,4.279999999999999,,56.93843447960644,,0.32172293051999995,,0.0241835616874712,,"Memory/cache, TLB"
bitonicsort,500000,parallel,4,1,0.048801508,,,3.2360802662081665,0.8090200665520416,1.9787128585450575,,0.5053790375301332,,0.025452434541317636,0.09070712429711447,1135536974.0,,573876583.0,,,,0.0,,6514279.0,,8308.0,,5420.0,,917.0,,2.97,,0.18,,3.1500000000000004,,64.54718571401524,,0.1537247502,,0.007501999626683302,,"Memory/cache, TLB"
bitonicsort,500000,parallel,8,1,0.063104118,,,2.5026195120895274,0.3128274390111909,0.7670095085664553,,1.3037648019110026,,0.025737730448517075,0.0487443307383708,1164772491.0,,1518589376.0,,,,0.0,,6536161.0,,5141.0,,3375.0,,1198.0,,2.82,,0.15,,2.9699999999999998,,47.06507426345773,,0.18741923045999997,,0.011826925234417033,,"ILP/pipeline, Memory/cache, TLB"
bitonicsort,500000,serial,1,1,0.15792559699999997,,,1.0,1.0,2.1105145971554755,,0.4738180922073636,,0.02516359526529373,0.3347517939899034,1132347048.0,,536526518.0,,,,0.0,,6483962.0,,46046.0,,10997.0,,723.0,,6.68,,0.39,,7.069999999999999,,44.7679168817706,,1.1165339707899997,,0.17632929390779123,,"Memory/cache, TLB"
bottomupsort,100,parallel,2,1,0.0017192745,,,1.3862763043365094,0.6931381521682547,0.5857321060001339,,1.7072651298369692,,0.0934110026383701,0.24268449389222335,804817.0,,1374036.0,,,,0.0,,17294.0,,629.0,,625.0,,604.0,,0.06,,0.0,,0.06,,34.898441173878865,,0.00010315646999999999,,1.7735428838101498e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,100,parallel,4,1,0.0017682129999999998,,,1.3479085947224685,0.3369771486806171,0.45166112366674227,,2.2140493117531386,,0.08931242943823099,0.23609647405979947,826375.0,,1829635.0,,,,0.0,,17962.0,,602.0,,654.0,,677.0,,0.06,,0.0,,0.06,,33.932563554277685,,0.00010609277999999999,,1.8759463280213996e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,100,parallel,8,1,0.0023041959999999997,,,1.0343692550460117,0.12929615688075147,0.11447857646940215,,8.735258865376267,,0.05486880280114631,0.2804263247301222,1135513.0,,9919000.0,,,,0.0,,18864.0,,612.0,,711.0,,730.0,,0.06,,0.0,,0.06,,26.0394515049935,,0.00013825176,,3.185591523849599e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,100,serial,1,1,0.0023833895,,,1.0,1.0,0.7580993354080959,,1.319088348048327,,0.08047725657191068,0.25414928552409694,688640.0,,908377.0,,,,0.0,,13546.0,,421.0,,491.0,,468.0,,0.05,,0.0,,0.05,,20.978526589967778,,0.000119169475,,2.8402727543551247e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,500,parallel,2,1,0.001771541,,,0.8687552249708023,0.43437761248540113,0.6137886687950168,,1.6292252542934509,,0.09646346780191316,0.2030857160703968,896307.0,,1460286.0,,,,0.0,,17759.0,,633.0,,637.0,,606.0,,0.05,,0.0,,0.05,,28.2240151371038,,8.857705e-05,,1.5691787573405e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
bottomupsort,500,parallel,4,1,0.0037618045000000003,,,0.40912160639926926,0.10228040159981731,0.05620116278095297,,17.79322616326558,,0.024002961649659007,0.23633680107758004,2695902.0,,47968794.0,,,,0.0,,18599.0,,600.0,,658.0,,692.0,,0.06,,0.0,,0.06,,15.949792180853628,,0.00022570827,,8.490703857732151e-07,,"ILP/pipeline, Memory/cache, TLB"
bottomupsort,500,parallel,8,1,0.001973206,,,0.7799669674631032,0.0974958709328879,0.1644517196900599,,6.080812057695034,,0.07272368116151237,0.20748597597472196,1107409.0,,6733946.0,,,,0.0,,19525.0,,588.0,,699.0,,685.0,,0.06,,0.0,,0.06,,30.407367502430056,,0.00011839235999999999,,2.3361251510615997e-07,,"ILP/pipeline, Branch, Memory/cache, TLB"
